filename, language, JSON, HTML, Markdown, XML, JavaScript, CSS, comment, blank, total
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/cartReducer.js, JavaScript, 0, 0, 0, 0, 91, 0, 0, 2, 93
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/categoryReducer.js, JavaScript, 0, 0, 0, 0, 27, 0, 0, 4, 31
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/errorReducer.js, JavaScript, 0, 0, 0, 0, 24, 0, 0, 1, 25
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/index.js, JavaScript, 0, 0, 0, 0, 17, 0, 0, 1, 18
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/orderReducer.js, JavaScript, 0, 0, 0, 0, 22, 0, 0, 4, 26
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/reducers/productReducer.js, JavaScript, 0, 0, 0, 0, 28, 0, 0, 4, 32
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/serviceWorker.js, JavaScript, 0, 0, 0, 0, 94, 0, 31, 13, 138
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/setupTests.js, JavaScript, 0, 0, 0, 0, 1, 0, 4, 1, 6
/Users/rasheenruwisha/final-year-proj/web-re/webstore/src/store.js, JavaScript, 0, 0, 0, 0, 10, 0, 0, 4, 14
Total, -, 14861, 26, 37, 771, 3268, 179, 69, 492, 19703
